name,price,rating,reviews,availability,image_url
"SAMSUNG Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Long Battery Life, S Pen, US Version, 2024, Titanium Black","1,107.",4.5 out of 5 stars,"1,817","SponsoredSponsored You’re seeing this ad based on the product’s relevance to your search query.Leave ad feedback  SAMSUNG Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Long Battery Life, S Pen, US Version, 2024, Titanium Black  Options:2 sizes2 sizes4.5 out of 5 stars 1,817  500+ bought in past month$1,107.34$1,107.34 List: $1,299.99$1,299.99$12.18 deliveryShips to India  2 sustainability features Sustainability featuresThis product has sustainability features recognized by trusted certifications. Energy efficiencyConserves energy compared to similar products.As certified by EPEATLearn more about EPEAT EPEATEPEAT addresses the sustainability impacts of electronic products. An EPEAT registered product must meet required criteria and can meet optional criteria. The criteria depend on the type of product and can include energy efficiency, reduction of fluorinated greenhouse gases (F-Gases), and end of life management. Products meeting 50% - 75% optional criteria are “Silver” and those meeting more than 75% are “Gold”.Certification LevelGOLDManufacturing practicesManufactured using processes that reduce the risk of negative environmental impact.As certified by ECOLOGOLearn more about ECOLOGO ECOLOGOECOLOGO certified products have reduced environmental impacts at one or more stages of their lifecycle – from raw materials to end of life. ECOLOGO certification indicates that a product has met environmental performance standards, which include criteria in some or all of the following categories: materials, energy, manufacturing and operations, health and environment, product performance and use, and product stewardship and innovation. Products are evaluated on the applicable criteria through testing and auditing. Discover more products with sustainability features. Learn more Sold by AmazonAdd to cart-Remove+3 colors/patterns",https://m.media-amazon.com/images/I/71WcjsOVOmL._AC_UY218_.jpg
"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black",197.,4.0 out of 5 stars,672,"SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black  4.0 out of 5 stars 672  3K+ bought in past month$197.47$197.47Delivery Mon, Oct 21 Ships to India  1 sustainability feature Sustainability featuresThis product has sustainability features recognized by trusted certifications. Energy efficiencyConserves energy compared to similar products.As certified by EPEATLearn more about EPEAT EPEATEPEAT addresses the sustainability impacts of electronic products. An EPEAT registered product must meet required criteria and can meet optional criteria. The criteria depend on the type of product and can include energy efficiency, reduction of fluorinated greenhouse gases (F-Gases), and end of life management. Products meeting 50% - 75% optional criteria are “Silver” and those meeting more than 75% are “Gold”.Certification LevelGOLD Discover more products with sustainability features. Learn more Sold by AmazonAdd to cart-RemoveMore Buying Choices$156.47(2+ used & new offers)",https://m.media-amazon.com/images/I/41vU1u8DZXL._AC_UY218_.jpg
Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black,140.,4.3 out of 5 stars,Products highlighted as 'Overall Pick' are:,Overall PickAmazon's Choice: Overall PickProducts highlighted as 'Overall Pick' are:Rated 4+ starsPurchased oftenReturned infrequentlySamsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black  4.3 out of 5 stars 606  2K+ bought in past month$140.70$140.70Seller rating: 4.7/5 (132)Add to cart-RemoveMore Buying Choices$129.87(12 used & new offers),https://m.media-amazon.com/images/I/515zGEaozeL._AC_UY218_.jpg
"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Navy",313.,4.4 out of 5 stars,303,"SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Navy  4.4 out of 5 stars 303  1K+ bought in past month$313.99$313.99 List: $399.99$399.99Delivery Mon, Oct 21 Ships to India  1 sustainability feature Sustainability featuresThis product has sustainability features recognized by trusted certifications. Manufacturing practicesManufactured using processes that reduce the risk of negative environmental impact.As certified by ECOLOGOLearn more about ECOLOGO ECOLOGOECOLOGO certified products have reduced environmental impacts at one or more stages of their lifecycle – from raw materials to end of life. ECOLOGO certification indicates that a product has met environmental performance standards, which include criteria in some or all of the following categories: materials, energy, manufacturing and operations, health and environment, product performance and use, and product stewardship and innovation. Products are evaluated on the applicable criteria through testing and auditing. Discover more products with sustainability features. Learn more Sold by AmazonAdd to cart-RemoveMore Buying Choices$310.85(3+ used & new offers)",https://m.media-amazon.com/images/I/71YwZXmVcEL._AC_UY218_.jpg
"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Ring Grip Case Bundle) (Light Blue)",149.,4.1 out of 5 stars,217,"Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Ring Grip Case Bundle) (Light Blue)  4.1 out of 5 stars 217  500+ bought in past month$149.50$149.50Seller rating: 4.8/5 (961)Add to cart-RemoveMore Buying Choices$147.97(3 new offers)",https://m.media-amazon.com/images/I/31bNhi6E3eL._AC_UY218_.jpg
"SAMSUNG Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Zoom Camera, Long Battery Life, S Pen, US Version, 2024, Titanium Gray","1,049.",4.5 out of 5 stars,"1,817","SAMSUNG Galaxy S24 Ultra Cell Phone, 256GB AI Smartphone, Unlocked Android, 50MP Zoom Camera, Long Battery Life, S Pen, US Version, 2024, Titanium Gray  Options:2 sizes2 sizes4.5 out of 5 stars 1,817  500+ bought in past month$1,049.99$1,049.99 List: $1,299.99$1,299.99$12.18 deliveryShips to India  2 sustainability features Sustainability featuresThis product has sustainability features recognized by trusted certifications. Energy efficiencyConserves energy compared to similar products.As certified by EPEATLearn more about EPEAT EPEATEPEAT addresses the sustainability impacts of electronic products. An EPEAT registered product must meet required criteria and can meet optional criteria. The criteria depend on the type of product and can include energy efficiency, reduction of fluorinated greenhouse gases (F-Gases), and end of life management. Products meeting 50% - 75% optional criteria are “Silver” and those meeting more than 75% are “Gold”.Certification LevelGOLDManufacturing practicesManufactured using processes that reduce the risk of negative environmental impact.As certified by ECOLOGOLearn more about ECOLOGO ECOLOGOECOLOGO certified products have reduced environmental impacts at one or more stages of their lifecycle – from raw materials to end of life. ECOLOGO certification indicates that a product has met environmental performance standards, which include criteria in some or all of the following categories: materials, energy, manufacturing and operations, health and environment, product performance and use, and product stewardship and innovation. Products are evaluated on the applicable criteria through testing and auditing. Discover more products with sustainability features. Learn more Sold by AmazonAdd to cart-RemoveMore Buying Choices$890.51(2+ used & new offers)",https://m.media-amazon.com/images/I/71-EnPs+uQL._AC_UY218_.jpg
"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39",149.,4.2 out of 5 stars,807,"Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39  4.2 out of 5 stars 807  2K+ bought in past month$149.99$149.99 List: $249.99$249.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-RemoveMore Buying Choices$100.23(5+ used & new offers)",https://m.media-amazon.com/images/I/61vgbLrWDyL._AC_UY218_.jpg
Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,349.,4.4 out of 5 stars,64,"Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte  4.4 out of 5 stars 64  400+ bought in past month$349.99$349.99 List: $399.99$399.99Delivery Mon, Oct 21 Ships to IndiaSold by AmazonAdd to cart-RemoveMore Buying Choices$224.97(2+ used & new offers)",https://m.media-amazon.com/images/I/61LE9-6KxdL._AC_UY218_.jpg
"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",49.,4.4 out of 5 stars,"3,963","Best Sellerin Landline PhonesPanasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)  4.4 out of 5 stars 3,963  5K+ bought in past month$49.99$49.99 ($25.00$25.00/2) List: $59.99$59.99$14.76 deliveryShips to IndiaSold by AmazonAdd to cart-Remove",https://m.media-amazon.com/images/I/81nkYlfA5ZL._AC_UY218_.jpg
"I14 Pro Max Unlocked Smartphone, 6+256GB, Android 13.0 Unlocked Cell Phones, 6.82"" HD Screen Battery 6800mAH with 128GB Memory Card/Face ID/Fingerprint Lock/Dual SIM 5G Phone (Blue)",158.,3.8 out of 5 stars,8,"I14 Pro Max Unlocked Smartphone, 6+256GB, Android 13.0 Unlocked Cell Phones, 6.82"" HD Screen Battery 6800mAH with 128GB Memory Card/Face ID/Fingerprint Lock/Dual SIM 5G Phone (Blue)  3.8 out of 5 stars 8  50+ bought in past month$158.99$158.99Seller rating: 3.6/5 (28)Add to cart-Remove",https://m.media-amazon.com/images/I/61f0ku-bepL._AC_UY218_.jpg
